01.06.2020 00:00;Bel_D21;Vwz_D21;Bel_D22;Vwz_D22;Bel_D81;Vwz_D81;Bel_TBS32;Vwz_TBS32;Bel_TBS35;Vwz_TBS35;Bel_TBS38;Vwz_TBS38;Bel_TBS41;Vwz_TBS41;Bel_TF32;Vwz_TF32;Bel_TF35;Vwz_TF35;Bel_TF38;Vwz_TF38;Bel_TF41;Vwz_TF41;Bel_V111;Vwz_V111;Bel_V112;Vwz_V112;Bel_V23;Vwz_V23;Bel_V24;Vwz_V24;Bel_V51;Vwz_V51;Bel_V82;Vwz_V82;Bel_VK1_Stoer;Vwz_VK1_Stoer;Bel_VK2_Stoer;Vwz_VK2_Stoer;Bel_VK3_Stoer;Vwz_VK3_Stoer;Bel_VK4_Stoer;Vwz_VK4_Stoer
02.06.2020 13:00;113;1435800;109;1631400;76;660600;7;6000;3;2400;1;600;3;1800;9;8400;25;19800;0;0;18;13200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 14:00;124;1535400;141;1825800;72;599400;6;6000;12;14400;1;600;10;9000;6;3600;20;14400;1;600;26;19200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 15:00;140;1801200;159;1981200;86;912000;5;3000;8;6600;2;1200;2;1200;11;10800;19;13800;2;1200;19;13800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 16:00;129;2247000;232;2832600;93;857400;5;3600;0;0;4;3000;11;7200;12;10200;24;20400;5;3600;29;21000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 17:00;112;1851600;146;2172600;66;592800;1;600;6;6000;2;1200;5;3600;6;5400;21;16200;4;2400;45;39600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 18:00;76;1209600;102;1924200;77;813000;2;1200;4;4200;1;600;8;6600;11;9000;17;12600;3;2400;25;22200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 19:00;65;1279800;58;959400;49;400800;0;0;4;2400;1;600;11;11400;7;6000;21;18000;7;7800;32;29400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 20:00;83;813600;55;615600;51;361200;3;2400;3;1800;0;0;8;6600;3;2400;14;9600;2;1200;17;12000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 21:00;47;465600;34;307200;36;206400;2;3600;4;5400;0;0;5;3600;1;600;7;5400;1;600;13;10200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 22:00;29;310200;24;228600;33;116400;1;600;0;0;1;600;0;0;6;4800;6;4800;2;1200;4;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
